原文, 译文
secure processing, 安全处理
highlight, 高亮
quick fix, 快速修复
quick fix proposal, 快速修复
default quick fix proposal, 默认快速修复
schema, 模式
Application authentication, 身份验证
authentication provider, 身份验证提供方
application authentication provider, 身份验证提供方
HTTP Strict Transport Security, HTTP严格传输安全
event, 事件
instance value, 实例值
namespace, 命名空间
required, 必需
schema composition, 模式组合
keyword, 关键字
non-empty array, 非空数组
argument, 参数
license key, 许可证密钥
license server, 许可服务器
Conditional, 条件逻辑
license, 许可证
composition, 组合
property, 属性
validation engine, 验证引擎
algorithm, 算法
dependency, 依赖项
array, 数组
string, 字符串
object, 对象
regular expression, 正则表达式
data type, 数据类型
non-negative integer, 非负整数
boolean, 布尔值
integer, 整数
float, 浮点数
